,date,id_producto,demanda
0,2022-12-01,1,275.69250348254195
1,2022-12-01,2,422.92275452682793
2,2022-12-01,3,567.5128083658021
3,2022-12-01,4,246.26909860071302
4,2022-12-01,5,195.26903326793965
5,2022-12-01,6,101.88296483627184
6,2022-12-01,7,310.6210357616276
7,2022-12-01,8,162.97906851383797
8,2022-12-01,9,439.123866764947
9,2022-12-01,10,293.9145074465507
10,2022-12-01,11,261.9945590482514
11,2022-12-01,12,402.1434936769567
12,2022-12-01,13,503.15914268167785
13,2022-12-01,14,409.0838990640443
14,2022-12-01,15,474.45734062572797
15,2022-12-01,16,334.46769883307775
16,2022-12-01,17,114.52609236151713
17,2022-12-01,18,91.37298344245411
18,2022-12-01,19,397.5175993033065
19,2022-12-01,20,684.5874701869764
20,2022-12-01,21,291.10828714713193
21,2022-12-01,22,260.1093146212718
22,2022-12-01,23,416.0127106348739
23,2022-12-01,24,328.50428577935077
24,2022-12-01,25,235.3537653236037
25,2022-12-01,26,281.27000650606556
26,2022-12-01,27,407.16845699474857
27,2022-12-01,28,278.452881515803
28,2022-12-01,29,123.40286123463213
29,2022-12-01,30,358.122988395706
30,2022-12-01,31,381.8503883395608
31,2022-12-01,32,164.77681492810208
32,2022-12-01,33,480.4812596945287
33,2022-12-01,34,267.4255219305817
34,2022-12-01,35,373.74122058713897
35,2022-12-01,36,558.7765082765893
36,2022-12-01,37,335.9016205160026
37,2022-12-01,38,438.12965919949806
38,2022-12-01,39,519.4904896178307
39,2022-12-01,40,635.0579933703377
40,2022-12-01,41,518.7785886637741
41,2022-12-01,42,795.7295199692746
42,2022-12-01,43,510.86419539090116
43,2022-12-01,44,345.4491499220878
44,2022-12-01,45,631.0442647323873
45,2022-12-01,46,464.8280338660609
46,2022-12-01,47,240.14266559576956
47,2022-12-01,48,138.4278324359586
48,2022-12-01,49,545.69468909177
49,2022-12-01,50,387.0499640335986
50,2022-12-01,51,375.59460332978256
51,2022-12-01,52,291.05964244986194
52,2022-12-01,53,464.5950568687497
53,2022-12-01,54,584.4359082204721
54,2022-12-01,55,624.5704371688264
55,2022-12-01,56,220.68172402165712
56,2022-12-01,57,259.5404124806994
57,2022-12-01,58,97.23206006008533
58,2022-12-01,59,210.02821905895527
59,2022-12-01,60,241.41201334342097
60,2022-12-01,61,182.5138390575323
61,2022-12-01,62,494.8504335184846
62,2022-12-01,63,317.44825296744443
63,2022-12-01,64,437.772432397913
64,2022-12-01,65,400.2685919632861
65,2022-12-01,66,446.41495342928306
66,2022-12-01,67,382.4128116261693
67,2022-12-01,68,290.0655820167142
68,2022-12-01,69,468.0289538087111
69,2022-12-01,70,252.5361480347876
70,2022-12-01,71,123.55102986175027
71,2022-12-01,72,308.234235914608
72,2022-12-01,73,556.6885938392682
73,2022-12-01,74,462.8291327263653
74,2022-12-01,75,513.0660555836114
75,2022-12-01,76,645.7288439197857
76,2022-12-01,77,177.9973981341993
77,2022-12-01,78,379.37806140745147
78,2022-12-01,79,552.0192866609834
79,2022-12-01,80,125.45375216241356
80,2022-12-01,81,224.29044544065457
81,2022-12-01,82,544.8529588245749
